count,tInitial,tFinal,accel_M_x,accel_M_y,accel_M_z,accel_H,gyro_M_x,gyro_M_y,gyro_M_z,mag_M_x,mag_M_y,mag_M_z,temp
298,7526,7534,13,105,934,-127,84,26,2,20569,16989,26157,"(11941, -235)"
299,7548,7556,8,108,936,-191,85,25,290,20659,16882,26091,"(11968, -235)"
300,7573,7581,13,109,935,0,83,25,291,20767,16935,26390,"(11966, -235)"
301,7595,7603,8,110,940,159,75,25,3,20587,17043,26139,"(11933, -235)"
302,7621,7630,4,111,930,271,76,26,8,20456,16852,26055,"(11945, -235)"
303,7643,7652,2,109,930,-159,82,28,-3,20539,16846,25923,"(11934, -235)"
304,7665,7674,6,103,927,287,83,21,2,20689,16995,25864,"(11983, -235)"
305,7687,7696,4,108,933,79,84,25,3,20432,16989,25989,"(11959, -235)"
306,7709,7717,3,103,938,79,77,26,0,20563,17181,25852,"(11993, -235)"
307,7731,7739,4,106,941,47,82,21,0,20725,16965,25439,"(11948, -235)"
308,7753,7761,4,106,935,63,80,24,-291,20593,17091,25965,"(11959, -235)"
309,7775,7783,5,102,928,-287,85,25,1,20605,16888,25642,"(11900, -235)"
310,7800,7808,6,106,930,127,82,25,4,20743,16828,25780,"(11910, -235)"
311,7822,7830,3,102,937,0,80,29,2,20444,16732,26073,"(11922, -235)"
312,7844,7852,1,105,941,143,74,24,0,20480,16810,25870,"(11966, -203)"
313,7918,7926,2,108,929,-79,80,24,-3,20569,16822,25989,"(11986, -235)"
314,7965,7974,5,104,935,399,77,24,-1,20851,17031,25690,"(11942, -203)"
315,8004,8012,6,98,939,31,74,22,5,20833,17019,26085,"(11985, -235)"
316,8030,8038,6,104,932,15,85,27,-3,20773,17073,26019,"(11928, -203)"
317,8052,8061,6,121,926,47,85,28,-2,20755,16720,27211,"(11931, -235)"
318,8074,8082,6,108,927,-207,82,25,1,20450,16864,26001,"(11953, -235)"
319,8096,8104,11,102,930,0,78,26,1,20629,16894,25720,"(11956, -235)"
320,8128,8137,5,111,939,0,76,24,3,20731,17217,25983,"(11994, -235)"
321,8150,8159,9,106,928,-31,84,25,-3,20677,16876,25900,"(11954, -235)"
